"","GSM1625995","GSM1625996","GSM1625997","GSM1625998","GSM1625999","GSM1626000","GSM1626001","GSM1626002","GSM1626003","GSM1626004","GSM1626005","GSM1626006","GSM1626007","GSM1626008","GSM1626009","GSM1626010","GSM1626011","GSM1626012"
"A_24_P53519",11.6584958599494,11.6243386014268,11.5922372766236,11.3137214336538,11.4098362143043,11.4204375117837,12.0681980204396,11.9312742411297,11.9874595442969,11.4945572912624,11.5432630926964,11.5506358614152,11.4227237431023,11.3582921008792,11.3508183012264,11.7263467799645,11.768354941938,12.0490431362102
"A_23_P214011",8.8127621471756,8.8706432469358,8.82186041789994,9.69835019185729,9.76109499775335,9.73223234846478,9.75037661171212,9.72638854015797,9.70862692361874,8.78414873942943,8.76853719087796,8.80111150579932,9.76116427178849,9.88301949571695,9.9645693195434,9.7333492329847,9.59820047667347,9.55389436761877
"A_24_P50543",9.41211093954959,9.41041239906857,9.40620420870219,9.09086572069357,9.23551427082143,9.09703509460777,9.02890368093438,9.06449331603977,9.0873086856642,9.467060841567,9.41785781283584,9.37955451806476,9.12931292351693,9.28322005115391,9.2093231338292,9.88261624883233,9.99352323952803,9.40389547537662
"A_24_P677642",7.57875871405841,7.55670389350674,7.47972751013773,7.40073186102393,7.40629681001664,7.42868994498814,7.31732810356821,7.37778675903403,7.38547377013,7.5699812069864,7.48634528110649,7.51391753009942,7.48422120861802,6.9826870669233,7.15281477483144,7.05724982105651,6.9841403445145,6.98477329687512
"A_24_P104980",9.38411979970909,9.37955451806476,9.27368182799758,8.96844760207123,8.83404781052393,9.15414070329426,9.48149473220534,9.47946310624326,9.21933365097323,9.37790100595394,9.42245595097677,9.37037935019736,9.40272723583087,8.3525462110859,7.79124752625833,7.90353040557033,9.07837304761379,9.04615990333064
"A_23_P103084",8.4157739329138,8.52482800824776,8.52928463300493,8.23586973582133,8.34252556606508,8.35810578644482,8.12463771763949,8.18254569081343,8.12671351128331,8.57879762376266,8.45283643881057,8.44461730312113,8.34054267092907,8.39695312555605,8.36455141599948,8.24735334166092,8.04068747716572,8.13667303998957
"A_23_P424513",10.4569654851846,10.4210910553774,10.2093584728519,10.1733740525482,10.7821825056624,10.4785569645935,10.9579101557978,11.0632199430877,11.0773133954058,10.5565269321567,10.0863398027174,10.113517160648,10.6632998002785,10.6933737387384,10.2102352375055,10.9693389023663,10.466267318007,10.9090496037064
"A_23_P385063",9.4870143200841,9.55497624583079,9.5916362418438,9.16275005810386,9.25752237915085,9.11782665581431,8.95699873737624,9.03992489761538,9.00462075904093,9.46281318845937,9.51842591958333,9.38973320449887,9.08759603192993,9.06949707640694,9.16516064932704,8.97397719748066,8.85895173283738,8.74748627417974
"A_24_P280706",8.92022830200409,8.9326414639594,8.63056287445344,8.50074966241344,8.64417176527998,8.59832006122994,8.58825075783992,8.64204846635662,8.60912524972789,9.07929917931246,8.95852069307948,9.09732063406616,9.00050865470658,8.56788789472216,8.42649372883729,8.49843791174858,8.38019995270142,8.66194468392715
"A_32_P76992",10.5274573707493,10.5063977320919,10.6798387151752,10.7955871314449,10.8765385010592,10.8905309491465,10.8966098316727,10.9307350337658,10.9584231937466,10.4271869795156,10.3628642255655,10.4121264414881,10.6607151748791,10.8385162105221,10.8108017826121,10.9281326504874,10.7411098165748,10.5689210446101
"A_32_P24489",10.9475825416739,10.8301696648084,10.9165885101761,11.57313585489,11.4850691737625,11.5610911954342,11.060728317215,10.8382973404517,10.9045178993723,10.8091531303891,10.9315135914329,10.9271667180375,11.4746590658971,11.600184687735,11.6227383063209,11.0924090859161,11.2742401186907,11.088965726848
"A_24_P555170",8.04481813822266,7.98552116065274,7.99096942109232,8.36230719787444,8.2951227975244,8.29371464921381,8.41853166098002,8.38192343601247,8.32179055730999,7.90417256531358,7.9826026676904,7.98827256577634,8.36302952746138,8.29134056970414,8.37139305516252,8.01807632560546,8.09799122757245,8.28002138935493
"A_32_P69399",9.1228181529441,9.09290669005421,9.19454562227858,9.6830144829219,9.75028355231997,9.74115631249838,9.51212788772494,9.63043950460739,9.65543334301056,9.08245862144586,9.04364265778025,9.0224267437061,9.62238010309528,9.7983316288409,9.71241579224751,9.55024020501766,9.48723549734356,9.60939916318435
"A_32_P145447",7.70461169040336,7.70047545014719,7.76968256652377,8.20185806241876,8.25054088898349,8.24905980778684,8.45882743519635,8.55103735442737,8.50475915061633,7.72255624459086,7.71534331269652,7.71539169848433,8.33817984811093,8.38001952679393,8.33658378591799,8.32081814353687,8.27788372151566,8.41692087521401
"A_32_P121059",7.90248987882788,7.82618989614065,7.84898388325584,8.27153708011105,8.33092342679476,8.24421622774965,8.49065880910157,8.31174550018091,8.341066527914,7.82733724312886,7.78495456273436,7.86257585028979,8.25274725432204,8.42836608153783,8.3108575068294,8.30312020329364,8.27435512476455,8.43844732396638
"A_24_P370670",10.8180169053619,10.7356401540353,10.9113885731471,10.9561279057822,11.1650794255048,11.1271032900419,10.9115862294172,11.0259943043295,11.0928124945883,10.6506617278699,10.561872676125,10.6993170578515,10.9392328407245,11.2369351279349,11.0844477316311,11.2057872189519,11.0257542706182,10.8655071100074
"A_32_P95147",10.4939167220063,10.4629555863178,10.5410250910343,11.0664707608152,10.9966890713355,11.1284104182742,11.6165937150956,11.5783609269478,11.600184687735,10.2423264114137,10.4110156099681,10.4659289220068,11.1795757710575,11.2739651291256,11.3300364865889,11.530152798656,11.6730627105921,11.5744504634991
"A_24_P886966",7.26900659375625,7.32609006030982,7.17725215872667,7.56059179097282,7.53904935582384,7.71099708658609,7.82350179382139,7.87318570251382,7.88371620677799,7.31157477391988,7.34948126362635,7.30927403210915,7.9242633467397,7.3473625296169,7.40073186102393,7.49982487623725,7.50364499195601,7.87752020183393
"A_24_P794515",10.5337895034843,10.6026561506798,10.5960854500533,11.0628269483037,11.0306431843761,11.1506488734825,10.8595827248918,10.724570995296,10.7012089377578,10.6716055221228,10.6347885677927,10.7156829202018,10.9972280691909,11.0868410123702,11.0855167560182,10.696129451844,10.8116795480467,10.8380784371717
"A_32_P144018",9.62877106290897,9.59607034665225,9.89877783921332,10.3860326121051,10.1701395286234,10.2072644681024,10.0296376759526,10.097530395127,10.0213807275551,9.71260613483466,9.77322869096027,9.68657427338523,9.91106423245774,10.2467622883545,10.213340665451,9.94062254493439,10.0288599049921,9.95014636175516
"A_32_P226605",7.31848686268597,7.27921998341258,7.40073186102393,7.40735950124187,7.37050963629467,7.29561387716655,8.64149664059581,8.65873737165071,8.57112929046166,7.25241023851908,7.21258808184589,7.14821311481721,7.3073517539151,7.36103898156794,7.20478098826497,8.07024381535816,8.78923678786833,8.28002138935493
"A_32_P177797",9.30614779343855,9.29050373639555,9.42822555279887,8.8852222534447,9.03497912717492,9.03375686560699,8.52939309690003,8.96151222062745,8.69532917835702,9.21716316380416,9.21531811904433,9.18541209888593,8.91486948840161,8.90194628803125,8.98727925624305,8.62030940664255,8.45176781383148,8.50889763345394
"A_24_P459880",9.0992898723893,8.97878413489362,8.85791668995538,9.26066175986528,8.94453826487583,9.28426415236627,9.34161545378655,9.3831502275719,9.26159008493915,9.00766711910922,8.88904823145692,8.7982773832035,9.24238288320302,9.04911881794531,9.09638349583237,8.86364462090866,8.66154887422745,9.42036381952574
"A_24_P902313",12.0727263386477,11.9137809193066,11.9192493849013,12.8868122386429,12.9968550068903,12.8935164739379,12.9298943738701,13.0159996438017,12.8992929740003,12.1672683705499,11.9004927932401,11.9893137832004,12.8855444369341,13.0170007620444,12.8616782598161,12.9730984548297,12.8852028133967,13.0688566757694
"A_24_P760708",10.2815821624294,10.3085263891937,10.1475448261357,10.6547333873553,10.6566638448553,10.6329629875259,10.4490380382468,10.4683777585743,10.3930969037308,10.1469506456006,10.1277117753498,10.0799423082062,10.3830239813321,10.5703177140982,10.469235530089,10.5105841750253,10.6033099952763,10.602346850527
"A_24_P25484",8.42880574725373,8.43725280137595,8.4754417198674,8.95209677941456,8.93773113065158,8.83780343638277,8.7348839950181,8.70758894760412,8.791984680712,8.43102361572697,8.55003937904121,8.4875111867122,8.79289301554342,8.8315758382888,8.81135937577388,8.78556317910408,8.59999273546934,8.63151193547028
"A_24_P930551",10.7781296751732,10.6875867797947,10.9348775374147,11.0507066178605,11.1650794255048,11.1091435730531,10.4842870709802,10.6607151748791,10.6598732345256,10.7603470306734,11.0195440144129,11.0361210615359,11.2465621344187,10.7438823617269,10.7300799090206,10.758100472561,10.999018592202,10.9759392304386
"A_23_P257516",11.6622904925676,11.5663069602266,11.5191770604798,11.0829628042561,11.2679672141358,11.0757013202714,10.6198808591778,10.9323525693026,11.0209126387157,11.5705688701503,11.5457181700707,11.5088324275791,11.5539717352049,11.2783105490147,11.2982546385415,10.7552252316075,10.6950557177998,10.5884554363752
"A_32_P29200",7.76922147888559,7.67470020195268,7.73144768656964,7.47995200991125,7.44293490801062,7.44411764919376,7.56654093215708,7.29261925151798,7.36015307292002,7.80054545958015,7.7096272190577,7.72751318328301,7.35334392356777,7.4150132114987,7.34948126362635,7.18046501711988,7.16076711459055,7.24253686964174
"A_24_P595567",7.56770319403734,7.48634528110649,7.54637240502177,7.88581319862545,7.84377536458709,7.85813465581509,7.85113296218784,7.85229365348118,7.78901276293573,7.51391753009942,7.36917891994197,7.42437685087246,7.69735922869004,7.91654062654603,7.72644229478057,7.69704062720056,7.54419825270721,7.93731867493577
"A_23_P91900",11.5478479477633,11.7116536668956,11.6897420931814,10.9341021362303,10.9363183535637,11.129089981405,10.9288711337829,10.841136149255,10.8512971240345,11.5899121149367,11.6379201220734,11.6559895523443,10.9197387980789,10.8529184528701,10.9771314231563,11.0329380246045,10.9636348689671,10.942064342176
"A_23_P428287",8.97842665221112,8.91981248826366,8.99860821418799,8.83309682260392,8.59403432568377,8.82692974857956,8.85237967442152,8.46096443635239,8.37854590186195,8.75702400768107,8.90715676666283,8.88103534722265,8.5403190270979,8.68678521028459,8.84528711758895,8.2924019071774,8.95791640948099,8.98986403492355
"A_24_P519638",9.67052621653496,9.71744931674583,9.75883999443366,9.84766451055926,9.75028355231997,9.83411269811345,9.14696369547187,9.08774334485966,9.28223722015606,9.68185053362079,9.65277643694976,9.64859491707577,9.66368862439046,9.53346282371038,9.60947611773843,9.01879213518083,8.92047644364869,9.09429328385409
